SitSiteNumber,WEBSITE - accno
23633,L.2213.86-76
23634,L.2213.86-76
23635,L.2213.86-76
23636,L.2213.86-76
23637,L.2213.86-76
23638,L.2213.86-76
23639,L.2213.86-76
23640,L.2213.86-76
23641,L.2213.86-76
23642,L.2213.86-76
23643,L.2213.86-76
23644,L.2213.86-76
23646,L.2213.86-76
23647,L.2213.86-76
23648,L.2213.86-76
23793,L.2213.86-76
24224,L.2213.86-76
24337,L.2213.86-76
25399,L.2213.86-76
25400,L.2213.86-76
26044,L.2213.86-76
26045,L.2213.86-76
26046,L.2213.86-76
1138,A.6504.68-2
2308,A.8640
10837,L.2059
10846,L.2059
10852,L.2059
10874,L.2059
11797,L.2059
12243,L.2059
15755,L.2213.86-76
15756,L.2213.86-76
17611,F.A.3949.2004-1
17612,F.A.3228.2002-3
17743,
22406,L.2213.86-76
23192,L.2213.86-76
23645,L.2213.86-76
24081,L.2213.86-76
24338,L.2213.86-76
24339,L.2213.86-76
24340,L.2213.86-76
26918,L.2213.86-76
27255,L.2213.86-76
28780,L.2213.86-76
28781,L.2213.86-76
28782,L.2213.86-76
25984,L.2213.86-76
25985,L.2213.86-76
21165,
41577,F.A.3809.2001-1
16646,
25228,L.2213.86-76
25229,L.2213.86-76
25230,L.2213.86-76
25231,L.2213.86-76
25238,L.2213.86-76
26135,L.2213.86-76
30125,L.2213.86-76
31464,
31466,
31467,
31468,
31481,
24285,L.2213.86-76
24369,L.2213.86-76
28749,L.2213.86-76
28750,L.2213.86-76
28784,L.2213.86-76
31295,
3934,
5334,A.8122.77-7
6944,L.2059
7957,L.2059
10526,L.2059
10686,L.2059
15364,A.5486.89-281
20649,L.2213.86-76
21566,L.2213.86-76
23312,L.2213.86-76
23313,L.2213.86-76
23314,L.2213.86-76
23957,L.2213.86-76
23958,L.2213.86-76
23960,L.2213.86-76
24671,L.2213.86-76
25233,L.2213.86-76
25234,L.2213.86-76
25235,L.2213.86-76
25236,L.2213.86-76
26001,L.2213.86-76
26530,L.2213.86-76
26531,L.2213.86-76
26690,L.2213.86-76
26925,L.2213.86-76
27269,L.2213.86-76
27270,L.2213.86-76
27290,L.2213.86-76
313,
349,
1205,
2523,A.7648.71-7
2865,
2866,
2867,
2869,
2870,
2871,
2875,A.1606
2876,A.1606
3281,
4247,
4408,A.6093
6093,L.2059.72-23
6429,L.2586.84-2
6837,L.2586.84-2
7041,L.2059
7042,L.2059
7173,L.2059
7239,L.2059
7240,L.2059
7241,L.2059
7940,L.2059
7941,L.2059
7942,L.2059
7943,L.2059
7944,L.2059
7945,L.2059
7946,L.2059
7947,L.2059
7948,L.2059
7949,L.2059
7950,L.2059
7951,L.2059
7952,L.2059
7953,L.2059
7954,L.2059
7955,L.2059
7956,L.2059
7958,L.2059
7959,L.2059
7960,L.2059
7963,L.2059
7964,L.2059
7965,L.2059
7966,L.2059
7967,L.2059
7968,L.2059
7969,L.2059
7974,L.2059
7977,L.2059
7978,L.2059
10050,L.2059
10051,L.2059
10387,L.2059
10461,L.2059
