TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
7527,,Chromista,Foraminifera,,Foraminiferida,Hantkeninidae,Hantkeninidae,,indet.,Hantkeninidae indet.,,
6858,,Animalia,Echinodermata,Crinoidea,Monobathrida,Hapalocrinidae,Hapalocrinidae,,indet.,Hapalocrinidae indet.,,
3856,,Animalia,Mollusca,Gastropoda,,Skeneidae,Haplocochlias,,concepcionensis,Haplocochlias concepcionensis,"(Lowe, 1933)",
3857,,Animalia,Mollusca,Gastropoda,,Skeneidae,Haplocochlias,,erici,Haplocochlias erici,"(Strong & Hertlein, 1939)",
3859,,Animalia,Mollusca,Gastropoda,,Skeneidae,Haplocochlias,,sp.,Haplocochlias sp.,,
6841,,Animalia,Echinodermata,Crinoidea,Disparida,Haplocrinitidae,Haplocrinitidae,,indet.,Haplocrinitidae indet.,,
6686,,Animalia,Coelenterata,Anthozoa,Rugosa,Hapsiphyllidae,Hapsiphyllidae,,indet.,Hapsiphyllidae indet.,,
1441,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,arnoldi,Harfordia arnoldi,"(Cossmann, 1903)",
10230,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,chucksnelli,Harfordia chucksnelli,"Callomon & Snyder, 2017",
1450,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,harfordii,Harfordia harfordii,"(Stearns, 1871)",
1453,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,kobelti,Harfordia kobelti,"(Dall, 1877)",
10231,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,mcleani,Harfordia mcleani,"Callomon & Snyder, 2017",
1463,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,robusta,Harfordia robusta,"(Trask, 1855)",
1470,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Harfordia,,sp.,Harfordia sp.,,
6443,,Animalia,Brachiopoda,Rhynchonellata,Orthida,Harknessellidae,Harknessellidae,,indet.,Harknessellidae indet.,,
13033,,Animalia,Mollusca,Gastropoda,Neogastropoda,Harpidae,Harpa,,sp.,Harpa sp.,,
7395,,Ichnofossil,,,,,Harpepus,,isp.,Harpepus isp.,,
10208,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpetidae,Harpes,,macrocephalus,Harpes macrocephalus,"(Goldfuss, 1839)",
10207,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpetidae,Harpes,,montagnei,Harpes montagnei,"Hawle and Corda, 1847)",
13166,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpidae,Harpes,,perradiatus,Harpes perradiatus,Richter and Richter 1943,
13167,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpidae,Harpes,,sp.,Harpes sp.,,
9742,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpetidae,Harpes,,trinucleoides,Harpes trinucleoides,"(Etheridge and Mitchell, 1917)",
6335,,Animalia,Arthropoda,Trilobita,Ptychopariida,Harpetidae,Harpetidae,,indet.,Harpetidae indet.,,
4885,,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,Harvella,,elegans,Harvella elegans,"(Sowerby I, 1825)",
2071,,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,Harvella,,sp.,Harvella sp.,,
6278,,Animalia,Arthropoda,Trilobita,Agnostida,Hastagnostidae,Hastagnostidae,,indet.,Hastagnostidae indet.,,
13330,,Chromista,Foraminifera,Globothalamea,Rotaliida,Hastigerinidae,Hastigerina,,siphonifera,Hastigerina siphonifera,"(d'Orbigny, 1839)",
7528,,Chromista,Foraminifera,,Foraminiferida,Hastigerinidae,Hastigerinidae,,indet.,Hastigerinidae indet.,,
11454,204663,Animalia,Mollusca,Cephalopoda,Ammonoidea,Desmoceratidae,Hauericeras,,angustum,Hauericeras angustum,"Yabe, 1904",
11455,204664,Animalia,Mollusca,Cephalopoda,Ammonoidea,Desmoceratidae,Hauericeras,,churchi,Hauericeras churchi,"Anderson, 1958",
12288,203365,Animalia,Mollusca,Cephalopoda,Ammonoidea,Desmoceratidae,Hauericeras,,sp.,Hauericeras sp.,,
11456,204665,Animalia,Mollusca,Cephalopoda,Ammonoidea,Desmoceratidae,Hauericeras,,transitionale,Hauericeras transitionale,"Waring, 1917",
2289,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Haustellotyphis,,cumingii,Haustellotyphis cumingii,"(Broderip, 1833)",
2387,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Haustellotyphis,,sp.,Haustellotyphis sp.,,
11858,204429,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Haydenia,,impressa,Haydenia impressa,"Gabb, 1864",
12427,203366,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Haydenia,,sp.,Haydenia sp.,,
7298,,Animalia,Porifera,Demospongiae,Haplosclerida,Hazeliidae,Hazeliidae,,indet.,Hazeliidae indet.,,
6268,,Animalia,Arthropoda,Ostracoda,Podocopida,Healdiidae,Healdiidae,,indet.,Healdiidae indet.,,
6484,,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Hebetoechiidae,Hebetoechiidae,,indet.,Hebetoechiidae indet.,,
7529,,Chromista,Foraminifera,,Foraminiferida,Hedbergellidae,Hedbergellidae,,indet.,Hedbergellidae indet.,,
560,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Hedecardium,,puelchum,Hedecardium puelchum,"(Sowerby, 1846)",
578,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Hedecardium,,sp.,Hedecardium sp.,,
7084,,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hedenstroemiidae,Hedenstroemiidae,,indet.,Hedenstroemiidae indet.,,
13345,,Animalia,Arthropoda,Trilobita,Ptychopariida,Olenidae,Hedinaspis,,regalis,Hedinaspis regalis,(Troedsson 1937),
13346,,Animalia,Arthropoda,Trilobita,Ptychopariida,Olenidae,Hedinaspis,,sp.,Hedinaspis sp.,,
11999,204554,Animalia,Mollusca,Gastropoda,Patellogastropoda,Patellidae,Helcion,,granulatus,Helcion granulatus,"Stanton, 1895",
12479,203367,Animalia,Mollusca,Gastropoda,Patellogastropoda,Patellidae,Helcion,,sp.,Helcion sp.,,
67,,Animalia,Mollusca,Gastropoda,,Architectonicidae,Heliacus,,areola,Heliacus areola,"(Gmelin, 1791)",
75,,Animalia,Mollusca,Gastropoda,,Architectonicidae,Heliacus,,sp.,Heliacus sp.,,
6957,,Animalia,Echinodermata,Stelleroidea,Spinulosida,Helianthasteridae,Helianthasteridae,,indet.,Helianthasteridae indet.,,
11364,204666,Animalia,Mollusca,Cephalopoda,Ammonoidea,Ancyloceratidae,Helicancylus,,aequicostatum,Helicancylus aequicostatum,"(Gabb, 1864)",
11365,204667,Animalia,Mollusca,Cephalopoda,Ammonoidea,Ancyloceratidae,Helicancylus,,gabbi,Helicancylus gabbi,"Anderson, 1938",
11366,204668,Animalia,Mollusca,Cephalopoda,Ammonoidea,Ancyloceratidae,Helicancylus,,philadelphium,Helicancylus philadelphium,"(Anderson, 1938)",
11367,204669,Animalia,Mollusca,Cephalopoda,Ammonoidea,Ancyloceratidae,Helicancylus,,pilsbryi,Helicancylus pilsbryi,"(Anderson, 1938)",
12258,203368,Animalia,Mollusca,Cephalopoda,Ammonoidea,Ancyloceratidae,Helicancylus,,sp.,Helicancylus sp.,,
12104,204880,Animalia,Mollusca,Gastropoda,Vetigastropoda,Trochidae,Helicocryptus,,mexicanus,Helicocryptus mexicanus,"Bose, 1910",
12514,203369,Animalia,Mollusca,Gastropoda,Vetigastropoda,Trochidae,Helicocryptus,,sp.,Helicocryptus sp.,,
6936,,Animalia,Echinodermata,Helicoplacoidea,,Helicoplacidae,Helicoplacidae,,indet.,Helicoplacidae indet.,,
